DATE,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
20200403,0.0000,-1.6402,-1.3636,0.2238,-0.5128,-0.2193
20200406,0.0000,7.0834,1.9520,-0.9099,0.6385,-0.3613
20200407,0.0000,-0.1069,0.3305,-0.6762,0.4716,-0.6326
20200408,0.0000,3.4074,0.8286,-0.2618,-1.0579,-1.0143
20200409,0.0000,1.5860,2.3515,-0.0538,-0.6477,-0.7626
20200413,0.0000,-0.9099,-1.3377,-0.0054,-0.3479,0.6473
20200414,0.0000,3.0242,-0.6717,-0.5514,0.6571,0.7902
20200415,0.0000,-2.1440,-2.0147,-0.1886,0.2182,1.3095
20200416,0.0000,0.6234,-0.6723,-0.1588,0.9506,1.6545
20200417,0.0000,2.7240,1.2515,0.2373,-1.2739,-1.9215
20200420,0.0000,-1.5664,0.3725,-0.2909,-1.1630,0.7170
20200421,0.0000,-3.0826,0.8254,0.6151,-0.0733,-0.5245
20200422,0.0000,2.3113,-0.7047,0.4996,0.2617,0.4494
20200423,0.0000,0.1243,1.0931,-0.3389,-0.6765,-0.9194
20200424,0.0000,1.4384,0.4375,0.1132,-0.1330,-0.0659
20200427,0.0000,1.7271,1.9955,0.1694,-0.5111,-0.8798
20200428,0.0000,-0.4498,1.8482,0.3629,0.4769,-1.4694
20200429,0.0000,2.9192,2.4832,-0.3363,0.4916,-0.9134
20200430,0.0000,-1.1784,-1.9788,0.0379,0.6531,1.2474
20200501,0.0003,-2.9057,-0.5588,-0.0168,0.7855,0.6983
20200504,0.0003,0.5351,-0.3792,-0.5409,-1.3247,-0.1949
20200505,0.0003,0.9479,-0.4436,-0.5824,-0.4259,0.6048
20200506,0.0003,-0.5203,0.0743,-0.6634,0.2322,0.8171
20200507,0.0003,1.3262,0.1142,-0.8409,-0.4918,-0.0771
20200508,0.0003,1.8959,1.7340,0.4943,-0.1198,-0.8579
20200511,0.0003,0.0665,0.1465,-0.1709,0.1867,0.2666
20200512,0.0003,-2.0619,-1.3249,-0.1404,-1.0943,-0.6815
20200513,0.0003,-1.8886,-1.4023,-0.3238,1.0542,1.0435
20200514,0.0003,1.1425,-0.6922,0.3614,0.0760,-0.1430
20200515,0.0003,0.5689,1.3431,-0.7291,0.1047,0.0018
20200518,0.0003,3.2397,2.3788,0.5541,-0.7442,-1.7156
20200519,0.0003,-1.0091,-0.5234,-0.9829,0.4231,0.2452
20200520,0.0003,1.7980,0.6710,0.1446,-0.9515,-0.2393
20200521,0.0003,-0.7047,0.7413,-0.2679,-0.1162,0.0375
20200522,0.0003,0.2748,0.2154,-0.5197,-0.0392,-0.0388
20200526,0.0003,1.2313,1.6096,0.5305,0.2091,-0.7601
20200527,0.0003,1.5383,1.7199,0.4464,0.4670,-0.3305
20200528,0.0003,-0.4101,-1.9704,0.0249,0.5060,0.7737
20200529,0.0003,0.5986,-0.7170,-0.1491,0.6762,1.1114
20200601,0.0005,0.5167,0.4302,-0.1081,-0.7513,-0.9739
20200602,0.0005,0.8068,-0.1301,0.1758,-0.4130,-0.6281
20200603,0.0005,1.4152,0.4137,0.4201,-0.3443,-1.0897
20200604,0.0005,-0.3417,0.9408,0.5378,-0.1507,-1.2535
20200605,0.0005,2.5012,0.4600,0.2392,-1.3410,-1.6443
20200608,0.0005,1.3910,0.5955,0.6817,-1.8089,-4.6163
20200609,0.0005,-0.8521,-0.4803,-0.5212,1.6592,1.8254
20200610,0.0005,-0.5654,-1.6717,-0.4650,1.5571,2.9320
20200611,0.0005,-5.9059,-1.4323,-0.4178,1.6703,2.1327
20200612,0.0005,1.2942,0.8981,0.3258,-1.0993,-1.6941
20200615,0.0005,1.0933,1.7339,-0.4069,-0.1986,0.0525
20200616,0.0005,1.8666,0.3478,0.1324,-0.0315,0.0362
20200617,0.0005,-0.4037,-1.2192,-0.1475,0.4459,1.2228
20200618,0.0005,0.1853,-0.1493,-0.2919,-0.3591,-0.4667
20200619,0.0005,-0.4517,-0.1246,-0.3752,-0.1419,0.9547
20200622,0.0005,0.7095,0.3835,-0.3827,-0.2634,0.0335
20200623,0.0005,0.4192,0.4179,-0.0676,-0.1675,-0.2032
20200624,0.0005,-2.6124,-0.3768,0.1216,1.1443,1.2442
20200625,0.0005,1.1193,0.5706,0.3201,-0.3900,0.6962
